time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
166, 178419.7, 166, 242370.8, 166, 1151732.0, 166, 401890.9, 166, 426247.1, 166, 307315.3, 166, 199481.4, 166, 368479.1, 166, 276867.9, 166, 330949.4, 166, 266274.8, 166, 373723.7, 166, 276525.2, 166, 357312.3, 166, 411373.2, 166, 266544.1
168, 178481.6, 168, 242350.7, 168, 1151636.0, 168, 401812.0, 168, 426183.8, 168, 307308.5, 168, 199454.8, 168, 368525.7, 168, 277008.4, 168, 330885.7, 168, 266284.1, 168, 373655.0, 168, 276586.0, 168, 357346.2, 168, 411286.3, 168, 266526.3
170, 178438.3, 170, 242371.3, 170, 1151694.0, 170, 401814.9, 170, 426217.4, 170, 307234.0, 170, 199497.6, 170, 368429.4, 170, 276993.0, 170, 330888.8, 170, 266370.5, 170, 373641.7, 170, 276514.8, 170, 357297.9, 170, 411233.3, 170, 266507.3
172, 178438.7, 172, 242281.8, 172, 1151652.0, 172, 401791.3, 172, 426217.6, 172, 307174.5, 172, 199497.6, 172, 368394.4, 172, 276979.4, 172, 330847.6, 172, 266355.2, 172, 373634.0, 172, 276482.8, 172, 357324.9, 172, 411175.9, 172, 266478.1
174, 178375.0, 174, 242274.3, 174, 1151607.0, 174, 401785.4, 174, 426215.5, 174, 307210.9, 174, 199484.4, 174, 368434.0, 174, 277022.0, 174, 330818.0, 174, 266392.1, 174, 373660.8, 174, 276446.2, 174, 357315.6, 174, 411170.7, 174, 266470.1
176, 178433.8, 176, 242218.0, 176, 1151619.0, 176, 401713.4, 176, 426251.2, 176, 307187.4, 176, 199453.4, 176, 368476.8, 176, 276955.4, 176, 330828.8, 176, 266398.7, 176, 373655.5, 176, 276484.1, 176, 357401.0, 176, 411115.9, 176, 266481.6
178, 178332.5, 178, 242269.1, 178, 1151540.0, 178, 401731.0, 178, 426145.8, 178, 307258.7, 178, 199481.8, 178, 368415.6, 178, 276979.9, 178, 330795.6, 178, 266378.9, 178, 373639.3, 178, 276475.1, 178, 357332.0, 178, 411167.0, 178, 266483.0
180, 178360.1, 180, 242242.7, 180, 1151667.0, 180, 401689.5, 180, 426181.5, 180, 307222.8, 180, 199473.1, 180, 368411.2, 180, 277014.0, 180, 330852.9, 180, 266508.5, 180, 373695.8, 180, 276448.4, 180, 357398.5, 180, 411154.4, 180, 266447.4
182, 178435.6, 182, 242290.9, 182, 1151731.0, 182, 401734.7, 182, 426232.4, 182, 307234.8, 182, 199543.0, 182, 368446.8, 182, 276981.1, 182, 330895.8, 182, 266428.1, 182, 373721.9, 182, 276529.9, 182, 357429.7, 182, 411211.9, 182, 266563.7
184, 178354.9, 184, 242280.6, 184, 1151672.0, 184, 401827.8, 184, 426210.2, 184, 307289.2, 184, 199504.4, 184, 368471.5, 184, 276972.8, 184, 330972.8, 184, 266374.3, 184, 373726.8, 184, 276542.5, 184, 357403.5, 184, 411401.1, 184, 266488.0
