time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
82, 179100.3, 82, 242807.3, 82, 1151810.0, 82, 402227.7, 82, 426990.7, 82, 308185.9, 82, 200706.9, 82, 368538.3, 82, 276643.7, 82, 330302.9, 82, 266579.8, 82, 373475.9, 82, 276202.1, 82, 357455.9, 82, 411652.8, 82, 266446.5
84, 179079.4, 84, 242805.2, 84, 1151813.0, 84, 402270.0, 84, 426940.9, 84, 308143.4, 84, 200699.4, 84, 368525.3, 84, 276515.8, 84, 330365.4, 84, 266625.0, 84, 373458.0, 84, 276127.8, 84, 357428.0, 84, 411630.3, 84, 266456.0
86, 178994.8, 86, 242772.5, 86, 1151791.0, 86, 402253.4, 86, 426944.4, 86, 308167.1, 86, 200661.7, 86, 368536.6, 86, 276569.4, 86, 330292.7, 86, 266606.2, 86, 373462.0, 86, 276114.0, 86, 357441.1, 86, 411657.5, 86, 266458.3
88, 179046.7, 88, 242780.2, 88, 1151786.0, 88, 402266.1, 88, 426927.7, 88, 308133.3, 88, 200673.4, 88, 368497.9, 88, 276580.7, 88, 330361.4, 88, 266603.9, 88, 373485.1, 88, 276108.5, 88, 357398.2, 88, 411642.6, 88, 266439.4
90, 179037.3, 90, 242787.4, 90, 1151807.0, 90, 402231.5, 90, 426994.7, 90, 308154.2, 90, 200668.0, 90, 368551.8, 90, 276552.7, 90, 330340.4, 90, 266581.0, 90, 373522.4, 90, 276151.7, 90, 357445.2, 90, 411701.0, 90, 266450.1
92, 179005.7, 92, 242833.8, 92, 1151807.0, 92, 402284.0, 92, 426920.5, 92, 308162.9, 92, 200658.6, 92, 368480.7, 92, 276480.3, 92, 330354.9, 92, 266601.9, 92, 373463.6, 92, 276082.3, 92, 357402.8, 92, 411765.5, 92, 266462.3
94, 179024.2, 94, 242801.2, 94, 1151834.0, 94, 402321.1, 94, 426959.8, 94, 308179.5, 94, 200636.3, 94, 368541.6, 94, 276546.7, 94, 330368.6, 94, 266566.2, 94, 373488.4, 94, 276106.5, 94, 357395.7, 94, 411709.1, 94, 266469.9
96, 179040.4, 96, 242822.9, 96, 1151805.0, 96, 402278.7, 96, 426923.9, 96, 308189.6, 96, 200651.0, 96, 368468.6, 96, 276505.3, 96, 330306.1, 96, 266506.4, 96, 373466.3, 96, 276095.1, 96, 357420.0, 96, 411689.6, 96, 266420.1
98, 179000.1, 98, 242795.1, 98, 1151822.0, 98, 402206.2, 98, 426938.0, 98, 308165.6, 98, 200638.4, 98, 368508.3, 98, 276538.6, 98, 330271.4, 98, 266513.4, 98, 373443.3, 98, 276122.9, 98, 357413.4, 98, 411704.8, 98, 266444.6
100, 179011.8, 100, 242784.2, 100, 1151889.0, 100, 402246.9, 100, 426888.5, 100, 308152.2, 100, 200617.6, 100, 368489.3, 100, 276533.3, 100, 330294.2, 100, 266554.1, 100, 373424.1, 100, 276098.9, 100, 357401.4, 100, 411664.3, 100, 266429.6
