time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
168, 168195.7, 168, 232419.7, 168, 1144181.0, 168, 391754.6, 168, 415694.4, 168, 296323.5, 168, 189025.8, 168, 357825.5, 168, 273969.7, 168, 327893.3, 168, 262836.0, 168, 371176.5, 168, 275351.8, 168, 362894.4, 168, 409450.0, 168, 258157.9
170, 168249.6, 170, 232453.5, 170, 1144238.0, 170, 391721.0, 170, 415694.2, 170, 296277.7, 170, 189039.0, 170, 357849.6, 170, 274054.6, 170, 327903.6, 170, 262865.0, 170, 371138.8, 170, 275399.4, 170, 362922.5, 170, 409426.9, 170, 258151.9
172, 168236.3, 172, 232397.9, 172, 1144086.0, 172, 391684.7, 172, 415714.5, 172, 296261.5, 172, 189048.9, 172, 357822.2, 172, 273980.6, 172, 327927.8, 172, 262878.9, 172, 371155.2, 172, 275369.0, 172, 362907.1, 172, 409358.9, 172, 258104.7
174, 168241.3, 174, 232397.2, 174, 1144130.0, 174, 391664.3, 174, 415629.8, 174, 296311.2, 174, 189077.3, 174, 357820.7, 174, 274014.8, 174, 327908.8, 174, 262871.2, 174, 371103.1, 174, 275375.5, 174, 362904.0, 174, 409361.4, 174, 258125.5
176, 168238.5, 176, 232373.9, 176, 1144159.0, 176, 391688.5, 176, 415675.6, 176, 296333.7, 176, 189047.0, 176, 357782.2, 176, 273975.9, 176, 327897.3, 176, 262841.9, 176, 371200.4, 176, 275469.1, 176, 356980.9, 176, 409492.3, 176, 258142.0
178, 168260.4, 178, 232466.5, 178, 1144132.0, 178, 391781.4, 178, 415705.5, 178, 296350.2, 178, 189036.6, 178, 357820.5, 178, 274011.4, 178, 327984.5, 178, 262814.6, 178, 371169.9, 178, 275403.8, 178, 362933.6, 178, 409482.3, 178, 258092.0
180, 168258.3, 180, 232392.2, 180, 1144161.0, 180, 391769.8, 180, 415686.4, 180, 296361.1, 180, 189015.2, 180, 357847.6, 180, 273963.1, 180, 327966.0, 180, 262816.1, 180, 371176.1, 180, 275409.7, 180, 362846.1, 180, 409532.0, 180, 258144.4
182, 168223.8, 182, 232475.3, 182, 1144165.0, 182, 391742.3, 182, 415616.3, 182, 296297.0, 182, 189007.2, 182, 357866.9, 182, 273917.8, 182, 327925.1, 182, 262808.5, 182, 371139.3, 182, 275470.0, 182, 362865.1, 182, 409518.8, 182, 258149.6
184, 168251.1, 184, 232454.7, 184, 1144176.0, 184, 391724.3, 184, 415684.8, 184, 296338.4, 184, 189070.1, 184, 357869.6, 184, 273945.6, 184, 327913.4, 184, 262773.5, 184, 371139.6, 184, 275418.6, 184, 362914.5, 184, 409522.6, 184, 258133.1
186, 168234.9, 186, 232424.6, 186, 1144192.0, 186, 391738.6, 186, 415647.8, 186, 296308.0, 186, 189082.6, 186, 357810.4, 186, 274012.0, 186, 327887.5, 186, 262812.4, 186, 371127.9, 186, 275403.3, 186, 362882.5, 186, 409426.5, 186, 258112.0
